epoch,loss,reconstruction_loss,kl_loss
1,0.9295248687267303,0.9295135736465454,0.011309665627777576
2,0.9895589053630829,0.9895171821117401,0.04173816926777363
3,1.0093092024326324,1.0091907680034637,0.11844361573457718
4,1.012804538011551,1.012490302324295,0.3142157942056656
5,1.0113342106342316,1.0107684433460236,0.5657874643802643
6,0.8863944113254547,0.8845292329788208,1.865177869796753
7,0.7566191554069519,0.7533952295780182,3.2239344120025635
8,0.6804803013801575,0.6742416322231293,6.238658428192139
9,0.7644915282726288,0.7577537298202515,6.737792253494263
10,0.5785017609596252,0.5714970231056213,7.004746198654175
11,0.584842324256897,0.5763782858848572,8.464061260223389
12,0.5033376663923264,0.49631036818027496,7.02728533744812
13,0.5717146992683411,0.5630798786878586,8.634826183319092
14,0.4958038628101349,0.48754918575286865,8.254674673080444
15,0.4564542919397354,0.44845718145370483,7.997100114822388
16,0.4678167551755905,0.45909813046455383,8.71861219406128
17,0.430155873298645,0.42229925096035004,7.856616020202637
18,0.37792059779167175,0.3691902756690979,8.730320930480957
19,0.3923645466566086,0.383764311671257,8.600246906280518
20,0.36618202924728394,0.3572951406240463,8.886885166168213
21,0.3418278992176056,0.3322034925222397,9.624402523040771
22,0.3226202726364136,0.31376564502716064,8.854632377624512
23,0.32011306285858154,0.3118651658296585,8.247897624969482
24,0.2993539720773697,0.2904789298772812,8.875042915344238
25,0.31037333607673645,0.3012192100286484,9.154133796691895
26,0.2644653767347336,0.25333165377378464,11.13372278213501
27,0.26550227403640747,0.2561033293604851,9.398938179016113
28,0.2514643520116806,0.242462657392025,9.001691818237305
29,0.2209504097700119,0.20985472202301025,11.095690727233887
30,0.2483600303530693,0.23948755860328674,8.872468709945679
31,0.22966452687978745,0.22037997096776962,9.284562110900879
32,0.24406492710113525,0.23514162749052048,8.923304080963135
33,0.22447512298822403,0.2153496891260147,9.125429153442383
34,0.22952885925769806,0.22065617889165878,8.872684478759766
35,0.19387686997652054,0.18427341431379318,9.603453159332275
36,0.20031185448169708,0.1915312260389328,8.78063178062439
37,0.18516547232866287,0.17612668871879578,9.038785696029663
38,0.1740616112947464,0.16482898592948914,9.232626914978027
39,0.16850212216377258,0.15900589525699615,9.49622631072998
40,0.16745951771736145,0.15830841660499573,9.151099681854248
41,0.14948182180523872,0.14040740951895714,9.074411392211914
42,0.15769214928150177,0.14873556792736053,8.95658540725708
43,0.15580203384160995,0.1459343358874321,9.867696285247803
44,0.150102399289608,0.1403876394033432,9.714760303497314
45,0.13164964318275452,0.12244996801018715,9.199674129486084
46,0.14326291531324387,0.13378872722387314,9.474191188812256
47,0.14764004200696945,0.13874974101781845,8.890305519104004
48,0.12180961668491364,0.11191488057374954,9.89473295211792
49,0.14140724018216133,0.13180232793092728,9.60491418838501
50,0.11659508943557739,0.10739404335618019,9.20104455947876
51,0.12143365293741226,0.11206674575805664,9.36690902709961
52,0.11715744063258171,0.10737469419836998,9.782744407653809
53,0.1003347784280777,0.08946846053004265,10.86631727218628
54,0.11488073691725731,0.10596367716789246,8.917054653167725
55,0.09184688702225685,0.08204516395926476,9.801723003387451
56,0.097166046500206,0.08766228705644608,9.503759384155273
57,0.10446175187826157,0.09537738561630249,9.08436632156372
58,0.09791617467999458,0.08849018812179565,9.425984382629395
59,0.09260443225502968,0.08330518007278442,9.2992525100708
60,0.08471778407692909,0.0757782869040966,8.939497947692871
61,0.08828793466091156,0.07951870188117027,8.769232273101807
62,0.07348322123289108,0.06363999843597412,9.843220710754395
63,0.0903368853032589,0.08139177411794662,8.945109844207764
64,0.06234493479132652,0.05321935936808586,9.125575065612793
65,0.07791364379227161,0.06844506971538067,9.468573570251465
66,0.07801434770226479,0.06880882196128368,9.205525398254395
67,0.054308606311678886,0.044680580496788025,9.628023624420166
68,0.052534690126776695,0.04227639548480511,10.25829553604126
69,0.052809471264481544,0.04314904846251011,9.660422325134277
70,0.0501035638153553,0.040012117475271225,10.091445922851562
71,0.05008634366095066,0.03952035307884216,10.565990447998047
72,0.04775221459567547,0.037702543660998344,10.049670219421387
73,0.04181980341672897,0.03245433792471886,9.365464687347412
74,0.04606393352150917,0.036892879754304886,9.171053409576416
75,0.042183294892311096,0.032408496364951134,9.774798393249512
76,0.04026865214109421,0.030430647544562817,9.838003158569336
77,0.04206997901201248,0.03197833430022001,10.091645240783691
78,0.0398821160197258,0.03027630690485239,9.605810165405273
79,0.0378841832280159,0.028738745488226414,9.145437240600586
80,0.03200424835085869,0.022598079405725002,9.406168937683105
81,0.04352971538901329,0.03431351203471422,9.216202735900879
82,0.0317914392799139,0.02251879870891571,9.272640228271484
83,0.03844748064875603,0.02817010134458542,10.277379035949707
84,0.026857742108404636,0.017600461840629578,9.257279396057129
85,0.035806600004434586,0.026739997789263725,9.066601276397705
86,0.030094758607447147,0.020644127391278744,9.450630187988281
87,0.030048558488488197,0.020887753926217556,9.160802841186523
88,0.029831672087311745,0.020355848129838705,9.475823879241943
89,0.025776059366762638,0.016137137077748775,9.638921737670898
90,0.025812989100813866,0.016378197818994522,9.434789657592773
91,0.023278708569705486,0.013697546441107988,9.581161975860596
92,0.024862967431545258,0.016500364523380995,8.362603664398193
93,0.027360964566469193,0.018708375748246908,8.652587890625
94,0.023046103306114674,0.013881569728255272,9.164533615112305
95,0.03986077569425106,0.02975728176534176,10.10349416732788
96,0.02158617414534092,0.012943468987941742,8.642704963684082
97,0.033104621805250645,0.025006704032421112,8.097918033599854
98,0.048613645136356354,0.040710750967264175,7.902894020080566
99,0.030735773965716362,0.022618123795837164,8.117650270462036
100,0.03384353779256344,0.02513427473604679,8.709263801574707
101,0.027483101934194565,0.01904998766258359,8.433113813400269
102,0.03696136176586151,0.028423295356333256,8.538065433502197
103,0.025747915729880333,0.017435426823794842,8.312488555908203
104,0.02432843390852213,0.015415992587804794,8.91244125366211
105,0.023225925862789154,0.014647156000137329,8.57876968383789
106,0.02934450563043356,0.020226063206791878,9.118441581726074
107,0.02035421784967184,0.01169479638338089,8.659421443939209
108,0.021398209035396576,0.012922634836286306,8.475573778152466
109,0.028849951922893524,0.020831639878451824,8.018312215805054
110,0.017404425889253616,0.008883024798706174,8.521399974822998
111,0.020037067122757435,0.011279190890491009,8.757875442504883
112,0.017449211794883013,0.009598033037036657,7.851178407669067
113,0.019931145012378693,0.012346707284450531,7.584437370300293
114,0.013920459896326065,0.00632504653185606,7.5954132080078125
115,0.014923022128641605,0.006892715115100145,8.030307292938232
116,0.016127592884004116,0.007648329017683864,8.47926378250122
117,0.012283391319215298,0.004028936731629074,8.254454135894775
118,0.013052207883447409,0.005104986019432545,7.947221755981445
119,0.014169270172715187,0.006488944869488478,7.680325031280518
120,0.013105873018503189,0.00550334295257926,7.602529764175415
121,0.011256330646574497,0.003638701164163649,7.617629289627075
122,0.01190357469022274,0.003956207074224949,7.9473676681518555
123,0.011856228578835726,0.004425121238455176,7.43110728263855
124,0.010634259320795536,0.003245584783144295,7.388674259185791
125,0.01087191142141819,0.003425076953135431,7.446834087371826
126,0.010610398836433887,0.0031983705703169107,7.412027835845947
127,0.010462259408086538,0.003109687357209623,7.352571725845337
128,0.010035742539912462,0.0022973145241849124,7.738427639007568
129,0.011206709314137697,0.004064193111844361,7.142515659332275
130,0.009688317310065031,0.002459716284647584,7.228600740432739
131,0.01089103426784277,0.0034415038535371423,7.449530124664307
132,0.009120700880885124,0.0019156395574100316,7.205061197280884
133,0.010175833478569984,0.002741442760452628,7.434390306472778
134,0.00945253623649478,0.002783619216643274,6.668916463851929
135,0.009835012257099152,0.003064132062718272,6.770879507064819
136,0.009257267229259014,0.0021362369298003614,7.121030330657959
137,0.009925378486514091,0.0031943232752382755,6.731054782867432
138,0.009252745658159256,0.0025893254787661135,6.663419961929321
139,0.008577428758144379,0.0018606283119879663,6.716799736022949
140,0.00887852581217885,0.002489819482434541,6.3887059688568115
141,0.01038991380482912,0.003809408750385046,6.580505132675171
142,0.009496486745774746,0.002667961467523128,6.828524827957153
143,0.009752754122018814,0.002943241153843701,6.809512615203857
144,0.009472607169300318,0.0024114319821819663,7.0611748695373535
145,0.009713456500321627,0.002872700337320566,6.8407557010650635
146,0.010203382931649685,0.004090595291927457,6.112786769866943
147,0.009139079600572586,0.00276010186644271,6.378977060317993
148,0.011529759503901005,0.004426394123584032,7.103364706039429
149,0.011352017987519503,0.004741406301036477,6.610611200332642
150,0.012494831345975399,0.006022119428962469,6.4727113246917725
