frame_id,time_sec,valid_pose,mean_keypoint_conf,low_keypoint_count,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y,left_elbow_angle,right_elbow_angle,left_knee_angle,right_knee_angle
12,0.3667,1,0.8363,2,14.252109,-1.788759,14.536975,-2.256415,14.287332,-2.616003,13.53396,-3.449539,12.63933,-3.695044,10.758327,-2.631006,9.897079,-2.12282,8.401851,1.632858,8.34133,3.729454,9.922042,7.5643,9.431673,8.390062,0.428687,0.408666,-0.428683,-0.408667,-7.91967,3.984101,-9.380713,3.65049,-14.237195,4.26543,-15.062675,3.721665,136.697093,151.945524,159.365318,156.326522
13,0.4,1,0.8136,2,15.144719,-1.235847,15.335951,-1.704868,15.264129,-2.075773,14.079498,-3.170564,13.586832,-3.395017,11.320004,-2.682133,10.472604,-2.151179,8.526781,1.479211,8.486208,3.614676,10.241014,7.48662,9.239383,8.563231,0.442254,0.428261,-0.442254,-0.428261,-8.319694,4.228581,-10.111163,3.918833,-15.316296,4.249341,-16.29114,3.834545,130.203,152.336601,156.722179,155.010139
14,0.4333,1,0.8083,2,14.517632,-1.301752,14.68959,-1.749863,14.639325,-2.096826,13.480498,-3.127498,13.084222,-3.31981,10.912461,-2.64463,10.065051,-2.113692,8.151925,1.357673,8.036928,3.449121,9.820555,7.154953,8.797097,8.2254,0.436563,0.409537,-0.436563,-0.409537,-8.075873,4.048842,-9.855697,3.781065,-14.96151,4.042361,-15.950603,3.707742,129.347141,150.925786,156.798005,155.326322
15,0.4667,1,0.8151,2,16.515583,-0.859018,16.783195,-1.275641,16.719131,-1.796475,15.536514,-2.711285,15.002642,-3.256596,12.512326,-2.206644,11.515028,-2.133191,9.084362,2.076493,8.910518,3.671139,10.860745,8.519763,9.611371,9.147999,0.516748,0.59079,-0.516744,-0.59079,-9.472019,4.917379,-11.532446,4.24625,-17.816713,4.891656,-18.937122,4.06914,125.91502,148.541056,156.403767,154.923354
16,0.5,1,0.8123,2,16.341766,-0.242824,16.523027,-0.668433,16.572813,-1.134668,15.256987,-2.301873,15.002095,-2.715011,12.45749,-1.939274,11.461907,-1.845387,8.880995,2.09551,8.938713,3.498684,10.741455,7.944068,9.824254,8.553709,0.517875,0.555503,-0.517875,-0.555506,-8.817211,4.631651,-10.933329,4.113469,-16.833427,4.159803,-17.841146,3.718839,120.799552,144.789477,153.042963,152.584921
17,0.5333,1,0.8175,2,11.832953,-0.084261,12.049939,-0.421204,11.89777,-0.729228,11.339481,-1.548131,10.683149,-1.790895,9.363307,-1.222496,8.370507,-1.10271,6.73313,1.699508,6.54889,2.832315,7.851249,5.722677,7.121813,6.250678,0.462786,0.418922,-0.462789,-0.418923,-6.755011,3.617592,-8.338403,3.238266,-12.886357,2.976291,-13.796508,2.732146,122.477066,145.645015,150.12771,149.793524
18,0.5667,1,0.8262,2,9.464493,0.060474,9.640228,-0.213292,9.51514,-0.446443,9.160142,-1.153852,8.589375,-1.310495,7.682056,-0.901286,6.691649,-0.763108,5.568795,1.335619,5.278696,2.28284,6.419965,4.346449,5.973002,4.75252,0.43816,0.329028,-0.438157,-0.329029,-5.472479,2.614382,-6.855915,2.358986,-10.199317,1.996018,-10.951412,1.8818,120.842317,139.412004,151.40787,150.628276
19,0.6,1,0.8304,2,9.913831,0.631352,9.986493,0.342467,9.964982,0.132547,9.41572,-0.796336,9.134797,-0.84997,8.104778,-0.785998,7.11734,-0.627989,5.599661,1.55838,5.174232,2.545075,6.558932,4.83215,6.205018,5.113236,0.451863,0.328789,-0.451865,-0.328789,-5.598854,2.866793,-7.149248,2.759981,-10.932997,1.780075,-12.070554,2.016965,116.770098,126.648614,145.728939,146.655653
20,0.6333,1,0.8082,2,8.015244,0.402608,8.070216,0.169619,8.101646,0.001946,7.614508,-0.748156,7.461408,-0.797403,6.69416,-0.655502,5.707423,-0.493173,4.775949,1.131204,4.319495,1.978191,5.528674,3.536827,5.155305,3.961495,0.422081,0.269627,-0.422081,-0.269627,-4.797369,2.0279,-6.161206,1.923115,-9.119421,1.32715,-9.791151,1.469682,115.592148,127.82956,152.173445,151.969474
21,0.6667,1,0.845,2,9.042467,0.227013,9.198016,-0.04064,9.079944,-0.24621,8.898504,-0.99274,8.41678,-1.080669,7.69034,-0.937202,6.702177,-0.783798,5.26882,1.134492,4.978307,2.132618,6.072992,4.123105,5.809407,4.319552,0.449689,0.330141,-0.449692,-0.330141,-5.764091,2.250471,-7.298283,2.118327,-10.801257,1.380754,-11.951964,1.500898,115.487764,128.604729,153.030452,152.769723
