frame_id,elapsed_sec,expected_label,segment_id,window_seconds,confidence_threshold,stabilization_buffer,stabilization_min_votes,keep_buffer_on_target,buffer_duration_sec,valid_feature_ratio,raw_label,threshold_label,stable_label,confidence,prediction_updated,processing_fps
0,0.0,,0,5.0,0.55,5,3,0,0.0,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,0.0
1,43.9662,,0,5.0,0.55,5,3,0,0.0,0.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,0.035
2,44.0341,,0,5.0,0.55,5,3,0,0.0679,0.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,5.126
3,44.0685,,0,5.0,0.55,5,3,0,0.1023,0.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,7.479
4,44.0886,,0,5.0,0.55,5,3,0,0.1224,0.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,11.61
5,44.109,,0,5.0,0.55,5,3,0,0.1429,0.2,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,15.054
6,44.1307,,0,5.0,0.55,5,3,0,0.1645,0.3333,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,18.347
7,44.1516,,0,5.0,0.55,5,3,0,0.1854,0.4286,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,20.879
8,44.1744,,0,5.0,0.55,5,3,0,0.2083,0.375,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,23.584
9,44.1953,,0,5.0,0.55,5,3,0,0.2292,0.3333,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,26.511
10,44.2142,,0,5.0,0.55,5,3,0,0.248,0.3,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,30.99
11,44.2283,,0,5.0,0.55,5,3,0,0.2621,0.3636,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,32.871
12,44.2484,,0,5.0,0.55,5,3,0,0.2822,0.3333,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,35.878
13,44.2644,,0,5.0,0.55,5,3,0,0.2982,0.3077,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,38.439
14,44.2805,,0,5.0,0.55,5,3,0,0.3144,0.2857,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,41.198
15,44.2957,,0,5.0,0.55,5,3,0,0.3295,0.2667,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,43.43
16,44.3115,,0,5.0,0.55,5,3,0,0.3453,0.3125,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,44.05
17,44.3316,,0,5.0,0.55,5,3,0,0.3654,0.3529,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,46.06
18,44.3472,,0,5.0,0.55,5,3,0,0.3811,0.3333,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,46.724
19,44.3663,,0,5.0,0.55,5,3,0,0.4001,0.3158,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,46.998
20,44.3863,,0,5.0,0.55,5,3,0,0.4201,0.35,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,47.943
21,44.4041,,0,5.0,0.55,5,3,0,0.4379,0.381,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,48.553
22,44.4225,,0,5.0,0.55,5,3,0,0.4564,0.4091,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,49.649
23,44.4394,,0,5.0,0.55,5,3,0,0.4733,0.3913,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,53.195
24,44.4511,,0,5.0,0.55,5,3,0,0.485,0.375,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,57.198
25,44.4618,,0,5.0,0.55,5,3,0,0.4956,0.4,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,59.314
26,44.4745,,0,5.0,0.55,5,3,0,0.5083,0.3846,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,61.988
27,44.4861,,0,5.0,0.55,5,3,0,0.5199,0.3704,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,65.288
28,44.4966,,0,5.0,0.55,5,3,0,0.5304,0.3929,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,67.573
29,44.508,,0,5.0,0.55,5,3,0,0.5418,0.3793,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,69.379
30,44.5197,,0,5.0,0.55,5,3,0,0.5535,0.3667,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,71.682
31,44.5308,,0,5.0,0.55,5,3,0,0.5646,0.3548,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,73.354
32,44.5418,,0,5.0,0.55,5,3,0,0.5756,0.375,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,73.799
33,44.5547,,0,5.0,0.55,5,3,0,0.5885,0.3636,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,75.932
34,44.5652,,0,5.0,0.55,5,3,0,0.599,0.3824,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,76.487
35,44.5775,,0,5.0,0.55,5,3,0,0.6113,0.3714,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,77.19
36,44.5895,,0,5.0,0.55,5,3,0,0.6234,0.3889,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,77.286
37,44.6023,,0,5.0,0.55,5,3,0,0.6361,0.4054,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,77.184
38,44.6155,,0,5.0,0.55,5,3,0,0.6493,0.3947,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,78.823
39,44.6261,,0,5.0,0.55,5,3,0,0.6599,0.4103,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,77.039
40,44.6424,,0,5.0,0.55,5,3,0,0.6762,0.425,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,76.624
41,44.6563,,0,5.0,0.55,5,3,0,0.6901,0.4146,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,77.587
42,44.6678,,0,5.0,0.55,5,3,0,0.7016,0.4048,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,79.45
43,44.6782,,0,5.0,0.55,5,3,0,0.712,0.3953,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,77.242
44,44.6957,,0,5.0,0.55,5,3,0,0.7295,0.3864,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,78.361
45,44.7069,,0,5.0,0.55,5,3,0,0.7408,0.3778,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,79.082
46,44.7187,,0,5.0,0.55,5,3,0,0.7525,0.3696,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,80.642
47,44.7291,,0,5.0,0.55,5,3,0,0.7629,0.383,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,81.015
48,44.741,,0,5.0,0.55,5,3,0,0.7748,0.375,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,79.839
49,44.7555,,0,5.0,0.55,5,3,0,0.7893,0.3878,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,79.152
50,44.7691,,0,5.0,0.55,5,3,0,0.8029,0.38,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,80.99
51,44.7795,,0,5.0,0.55,5,3,0,0.8133,0.3725,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,80.555
52,44.7925,,0,5.0,0.55,5,3,0,0.8263,0.3654,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,80.802
53,44.8046,,0,5.0,0.55,5,3,0,0.8384,0.3585,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,82.466
54,44.8149,,0,5.0,0.55,5,3,0,0.8487,0.3519,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,84.12
55,44.8248,,0,5.0,0.55,5,3,0,0.8586,0.3636,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,84.124
56,44.8368,,0,5.0,0.55,5,3,0,0.8706,0.3571,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,85.717
57,44.8469,,0,5.0,0.55,5,3,0,0.8807,0.3509,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,86.803
58,44.8571,,0,5.0,0.55,5,3,0,0.8909,0.3448,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,87.766
59,44.8675,,0,5.0,0.55,5,3,0,0.9014,0.339,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,84.621
60,44.8852,,0,5.0,0.55,5,3,0,0.919,0.3333,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,86.312
