frame_id,elapsed_sec,expected_label,segment_id,window_seconds,confidence_threshold,stabilization_buffer,stabilization_min_votes,keep_buffer_on_target,buffer_duration_sec,valid_feature_ratio,raw_label,threshold_label,stable_label,confidence,prediction_updated,processing_fps
45,4.5648,,0,5.0,0.55,5,3,0,4.5648,1.0,leg_raise_lower,UNKNOWN,UNKNOWN,0.2267,0,67.284
46,4.5768,,0,5.0,0.55,5,3,0,4.5768,1.0,leg_raise_lower,UNKNOWN,UNKNOWN,0.2267,0,67.482
47,4.5912,,0,5.0,0.55,5,3,0,4.5912,1.0,leg_raise_lower,UNKNOWN,UNKNOWN,0.2267,0,67.788
48,4.6052,,0,5.0,0.55,5,3,0,4.6052,1.0,leg_raise_lower,UNKNOWN,UNKNOWN,0.2267,0,69.498
49,4.6169,,0,5.0,0.55,5,3,0,4.6169,1.0,leg_raise_lower,UNKNOWN,UNKNOWN,0.2267,0,71.544
50,4.6283,,0,5.0,0.55,5,3,0,4.6283,1.0,leg_raise_lower,UNKNOWN,UNKNOWN,0.2267,0,69.216
51,4.6489,,0,5.0,0.55,5,3,0,4.6489,1.0,leg_raise_lower,UNKNOWN,UNKNOWN,0.2267,0,68.1
52,4.6661,,0,5.0,0.55,5,3,0,4.6661,1.0,leg_raise_lower,UNKNOWN,UNKNOWN,0.2267,0,70.239
53,4.6773,,0,5.0,0.55,5,3,0,4.6773,1.0,leg_raise_lower,UNKNOWN,UNKNOWN,0.2267,0,72.065
54,4.6886,,0,5.0,0.55,5,3,0,4.6886,1.0,leg_raise_lower,UNKNOWN,UNKNOWN,0.2267,0,72.823
55,4.701,,0,5.0,0.55,5,3,0,4.701,1.0,leg_raise_lower,UNKNOWN,UNKNOWN,0.2267,0,73.871
56,4.7134,,0,5.0,0.55,5,3,0,4.7134,1.0,leg_raise_lower,UNKNOWN,UNKNOWN,0.2267,0,74.988
57,4.7249,,0,5.0,0.55,5,3,0,4.7249,1.0,leg_raise_lower,UNKNOWN,UNKNOWN,0.2267,0,75.77
58,4.7371,,0,5.0,0.55,5,3,0,4.7371,1.0,leg_raise_lower,UNKNOWN,UNKNOWN,0.2267,0,76.098
59,4.7497,,0,5.0,0.55,5,3,0,4.7497,1.0,leg_raise_lower,UNKNOWN,UNKNOWN,0.2267,0,76.917
60,4.7617,,0,5.0,0.55,5,3,0,4.7617,1.0,drink_return,UNKNOWN,UNKNOWN,0.23,1,70.891
61,4.8218,,0,5.0,0.55,5,3,0,4.8218,1.0,drink_return,UNKNOWN,UNKNOWN,0.23,0,71.76
62,4.834,,0,5.0,0.55,5,3,0,4.834,1.0,drink_return,UNKNOWN,UNKNOWN,0.23,0,73.339
63,4.8462,,0,5.0,0.55,5,3,0,4.8462,1.0,drink_return,UNKNOWN,UNKNOWN,0.23,0,73.636
64,4.8586,,0,5.0,0.55,5,3,0,4.8586,1.0,drink_return,UNKNOWN,UNKNOWN,0.23,0,72.011
65,4.8762,,0,5.0,0.55,5,3,0,4.8762,1.0,drink_return,UNKNOWN,UNKNOWN,0.23,0,73.275
66,4.8877,,0,5.0,0.55,5,3,0,4.8877,1.0,drink_return,UNKNOWN,UNKNOWN,0.23,0,74.082
67,4.9,,0,5.0,0.55,5,3,0,4.9,1.0,drink_return,UNKNOWN,UNKNOWN,0.23,0,75.944
68,4.9109,,0,5.0,0.55,5,3,0,4.9109,1.0,drink_return,UNKNOWN,UNKNOWN,0.23,0,74.418
69,4.9274,,0,5.0,0.55,5,3,0,4.9274,1.0,drink_return,UNKNOWN,UNKNOWN,0.23,0,75.688
70,4.9387,,0,5.0,0.55,5,3,0,4.9387,1.0,drink_return,UNKNOWN,UNKNOWN,0.23,0,76.419
71,4.9508,,0,5.0,0.55,5,3,0,4.9508,1.0,drink_return,UNKNOWN,UNKNOWN,0.23,0,77.768
72,4.9624,,0,5.0,0.55,5,3,0,4.9624,1.0,drink_return,UNKNOWN,UNKNOWN,0.23,0,78.303
73,4.9739,,0,5.0,0.55,5,3,0,4.9739,1.0,drink_return,UNKNOWN,UNKNOWN,0.23,0,78.859
74,4.9859,,0,5.0,0.55,5,3,0,4.9859,1.0,drink_return,UNKNOWN,UNKNOWN,0.23,0,78.94
75,4.9985,,0,5.0,0.55,5,3,0,4.9985,1.0,drink_return,UNKNOWN,UNKNOWN,0.23,0,80.181
76,5.0095,,0,5.0,0.55,5,3,0,1.2016,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,80.59
77,5.0212,,0,5.0,0.55,5,3,0,1.2133,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,81.054
78,5.033,,0,5.0,0.55,5,3,0,1.2251,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,82.33
79,5.0438,,0,5.0,0.55,5,3,0,1.2358,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,82.838
80,5.0552,,0,5.0,0.55,5,3,0,1.2473,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,82.537
81,5.0676,,0,5.0,0.55,5,3,0,1.2597,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,83.232
82,5.0794,,0,5.0,0.55,5,3,0,1.2714,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,83.419
83,5.0904,,0,5.0,0.55,5,3,0,1.2824,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,83.6
84,5.1023,,0,5.0,0.55,5,3,0,1.2944,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,83.6
85,5.1144,,0,5.0,0.55,5,3,0,1.3064,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,80.737
86,5.1324,,0,5.0,0.55,5,3,0,1.3245,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,81.853
87,5.1434,,0,5.0,0.55,5,3,0,1.3354,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,82.39
88,5.1547,,0,5.0,0.55,5,3,0,1.3468,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,83.119
