frame_id,elapsed_sec,expected_label,segment_id,window_seconds,confidence_threshold,stabilization_buffer,stabilization_min_votes,keep_buffer_on_target,buffer_duration_sec,valid_feature_ratio,raw_label,threshold_label,stable_label,confidence,prediction_updated,processing_fps
0,0.0,,0,5.0,0.55,5,3,0,0.0,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,0.0
1,32.555,,0,5.0,0.55,5,3,0,0.0,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,0.073
2,32.6584,,0,5.0,0.55,5,3,0,0.1035,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,3.218
3,32.6901,,0,5.0,0.55,5,3,0,0.1351,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,5.599
4,32.727,,0,5.0,0.55,5,3,0,0.1721,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,7.537
5,32.7668,,0,5.0,0.55,5,3,0,0.2119,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,10.851
6,32.7915,,0,5.0,0.55,5,3,0,0.2366,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,12.954
7,32.8229,,0,5.0,0.55,5,3,0,0.268,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,19.813
8,32.835,,0,5.0,0.55,5,3,0,0.28,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,26.061
9,32.8472,,0,5.0,0.55,5,3,0,0.2922,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,32.256
10,32.8585,,0,5.0,0.55,5,3,0,0.3036,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,37.807
11,32.8698,,0,5.0,0.55,5,3,0,0.3149,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,42.186
12,32.8821,,0,5.0,0.55,5,3,0,0.3272,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,47.014
13,32.8933,,0,5.0,0.55,5,3,0,0.3384,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,48.127
14,32.9106,,0,5.0,0.55,5,3,0,0.3557,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,51.483
15,32.9227,,0,5.0,0.55,5,3,0,0.3677,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,54.492
16,32.9349,,0,5.0,0.55,5,3,0,0.38,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,56.98
17,32.9475,,0,5.0,0.55,5,3,0,0.3925,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,60.54
18,32.9581,,0,5.0,0.55,5,3,0,0.4032,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,63.511
19,32.9694,,0,5.0,0.55,5,3,0,0.4144,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,65.535
20,32.9813,,0,5.0,0.55,5,3,0,0.4263,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,68.383
21,32.9922,,0,5.0,0.55,5,3,0,0.4373,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,68.768
22,33.0061,,0,5.0,0.55,5,3,0,0.4511,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,69.866
23,33.0183,,0,5.0,0.55,5,3,0,0.4633,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,70.322
