frame_id,elapsed_sec,expected_label,segment_id,window_seconds,confidence_threshold,stabilization_buffer,stabilization_min_votes,keep_buffer_on_target,buffer_duration_sec,valid_feature_ratio,raw_label,threshold_label,stable_label,confidence,prediction_updated,processing_fps
0,0.0,,0,5.0,0.55,5,3,0,0.0,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,0.0
1,15.2865,,0,5.0,0.55,5,3,0,0.0,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,13.679
2,15.3567,,0,5.0,0.55,5,3,0,0.0702,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,14.992
3,15.3943,,0,5.0,0.55,5,3,0,0.1078,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,16.892
4,15.4234,,0,5.0,0.55,5,3,0,0.1369,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,18.635
5,15.4527,,0,5.0,0.55,5,3,0,0.1662,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,20.613
6,15.4786,,0,5.0,0.55,5,3,0,0.1921,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,22.001
7,15.5075,,0,5.0,0.55,5,3,0,0.221,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,23.133
8,15.5376,,0,5.0,0.55,5,3,0,0.2511,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,24.633
9,15.5639,,0,5.0,0.55,5,3,0,0.2774,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,25.955
10,15.5902,,0,5.0,0.55,5,3,0,0.3037,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,26.666
11,15.6205,,0,5.0,0.55,5,3,0,0.334,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,29.696
12,15.6381,,0,5.0,0.55,5,3,0,0.3516,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,33.821
13,15.6521,,0,5.0,0.55,5,3,0,0.3656,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,37.579
14,15.6661,,0,5.0,0.55,5,3,0,0.3796,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,42.578
15,15.6777,,0,5.0,0.55,5,3,0,0.3912,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,46.084
16,15.6904,,0,5.0,0.55,5,3,0,0.4039,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,47.541
17,15.7068,,0,5.0,0.55,5,3,0,0.4204,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,50.647
