track_id,first_frame,last_frame,detected_frames,mean_box_conf,mean_keypoint_conf
1,0,32,24,0.7343000000000001,0.6229583333333334
2,0,32,33,0.8599424242424243,0.651
4,6,11,4,0.386775,0.3287
5,20,23,3,0.29806666666666665,0.3293333333333333
