frame_id,video_time_sec,expected_label,window_seconds,confidence_threshold,stabilization_buffer,stabilization_min_votes,buffer_duration_sec,valid_feature_ratio,raw_label,threshold_label,stable_label,confidence,prediction_updated,processing_fps,frame_processing_sec
0,0.0,wave,5.0,0.55,5,3,0.0,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,0.0,18.64005
1,0.04,wave,5.0,0.55,5,3,0.04,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,3.997,0.07847
2,0.08,wave,5.0,0.55,5,3,0.08,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,6.245,0.03668
3,0.12,wave,5.0,0.55,5,3,0.12,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,7.326,0.05808
4,0.16,wave,5.0,0.55,5,3,0.16,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,7.753,0.08553
5,0.2,wave,5.0,0.55,5,3,0.2,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,16.043,0.01053
6,0.24,wave,5.0,0.55,5,3,0.24,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,25.255,0.00891
7,0.28,wave,5.0,0.55,5,3,0.28,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,33.54,0.00869
8,0.32,wave,5.0,0.55,5,3,0.32,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,33.323,0.01079
9,0.36,wave,5.0,0.55,5,3,0.36,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,38.367,0.01148
10,0.4,wave,5.0,0.55,5,3,0.4,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,44.748,0.00927
11,0.44,wave,5.0,0.55,5,3,0.44,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,50.216,0.00972
12,0.48,wave,5.0,0.55,5,3,0.48,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,56.147,0.00915
13,0.52,wave,5.0,0.55,5,3,0.52,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,60.218,0.00942
14,0.56,wave,5.0,0.55,5,3,0.56,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,64.112,0.00962
15,0.6,wave,5.0,0.55,5,3,0.6,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,68.655,0.00872
16,0.64,wave,5.0,0.55,5,3,0.64,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,71.12,0.01039
17,0.68,wave,5.0,0.55,5,3,0.68,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,70.748,0.01444
18,0.72,wave,5.0,0.55,5,3,0.72,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,73.425,0.00975
19,0.76,wave,5.0,0.55,5,3,0.76,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,74.389,0.01134
20,0.8,wave,5.0,0.55,5,3,0.8,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,77.428,0.00915
21,0.84,wave,5.0,0.55,5,3,0.84,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,79.717,0.0095
22,0.88,wave,5.0,0.55,5,3,0.88,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,80.726,0.01065
23,0.92,wave,5.0,0.55,5,3,0.92,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,82.278,0.00983
24,0.96,wave,5.0,0.55,5,3,0.96,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,84.207,0.00971
25,1.0,wave,5.0,0.55,5,3,1.0,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,85.616,0.00944
26,1.04,wave,5.0,0.55,5,3,1.04,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,84.95,0.01235
27,1.08,wave,5.0,0.55,5,3,1.08,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,85.667,0.01038
28,1.12,wave,5.0,0.55,5,3,1.12,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,81.779,0.02111
29,1.16,wave,5.0,0.55,5,3,1.16,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,82.631,0.01006
30,1.2,wave,5.0,0.55,5,3,1.2,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,83.414,0.01064
31,1.24,wave,5.0,0.55,5,3,1.24,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,85.843,0.00878
32,1.28,wave,5.0,0.55,5,3,1.28,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,87.708,0.00875
33,1.32,wave,5.0,0.55,5,3,1.32,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,89.227,0.0094
34,1.36,wave,5.0,0.55,5,3,1.36,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,91.049,0.0088
35,1.4,wave,5.0,0.55,5,3,1.4,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,92.39,0.00927
36,1.44,wave,5.0,0.55,5,3,1.44,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,94.147,0.009
37,1.48,wave,5.0,0.55,5,3,1.48,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,94.352,0.00978
38,1.52,wave,5.0,0.55,5,3,1.52,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,96.702,0.00815
39,1.56,wave,5.0,0.55,5,3,1.56,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,96.729,0.00951
40,1.6,wave,5.0,0.55,5,3,1.6,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,97.364,0.0093
41,1.64,wave,5.0,0.55,5,3,1.64,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,98.643,0.00865
42,1.68,wave,5.0,0.55,5,3,1.68,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,99.97,0.00872
43,1.72,wave,5.0,0.55,5,3,1.72,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,102.043,0.00776
44,1.76,wave,5.0,0.55,5,3,1.76,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,102.872,0.00867
45,1.8,wave,5.0,0.55,5,3,1.8,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,104.704,0.00792
46,1.84,wave,5.0,0.55,5,3,1.84,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,107.059,0.00747
47,1.88,wave,5.0,0.55,5,3,1.88,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,108.626,0.00779
48,1.92,wave,5.0,0.55,5,3,1.92,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,109.527,0.00855
49,1.96,wave,5.0,0.55,5,3,1.96,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,111.11,0.00731
50,2.0,wave,5.0,0.55,5,3,2.0,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,111.826,0.00822
51,2.04,wave,5.0,0.55,5,3,2.04,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,107.438,0.01436
52,2.08,wave,5.0,0.55,5,3,2.08,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,108.201,0.00844
53,2.12,wave,5.0,0.55,5,3,2.12,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,108.219,0.00881
54,2.16,wave,5.0,0.55,5,3,2.16,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,104.869,0.01301
55,2.2,wave,5.0,0.55,5,3,2.2,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,106.674,0.00784
56,2.24,wave,5.0,0.55,5,3,2.24,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,107.846,0.0081
57,2.28,wave,5.0,0.55,5,3,2.28,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,103.032,0.01639
58,2.32,wave,5.0,0.55,5,3,2.32,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,101.815,0.01042
59,2.36,wave,5.0,0.55,5,3,2.36,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,101.081,0.01023
60,2.4,wave,5.0,0.55,5,3,2.4,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,102.766,0.00848
61,2.44,wave,5.0,0.55,5,3,2.44,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,99.892,0.01269
62,2.48,wave,5.0,0.55,5,3,2.48,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,101.07,0.00855
63,2.52,wave,5.0,0.55,5,3,2.52,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,102.669,0.00815
64,2.56,wave,5.0,0.55,5,3,2.56,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,104.156,0.00818
65,2.6,wave,5.0,0.55,5,3,2.6,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,105.088,0.00846
66,2.64,wave,5.0,0.55,5,3,2.64,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,105.712,0.00869
67,2.68,wave,5.0,0.55,5,3,2.68,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,107.186,0.00786
68,2.72,wave,5.0,0.55,5,3,2.72,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,108.765,0.0078
69,2.76,wave,5.0,0.55,5,3,2.76,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,110.343,0.00766
70,2.8,wave,5.0,0.55,5,3,2.8,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,111.645,0.00781
71,2.84,wave,5.0,0.55,5,3,2.84,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,112.001,0.00835
72,2.88,wave,5.0,0.55,5,3,2.88,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,108.269,0.01337
73,2.92,wave,5.0,0.55,5,3,2.92,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,105.881,0.01121
74,2.96,wave,5.0,0.55,5,3,2.96,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,107.363,0.00795
75,3.0,wave,5.0,0.55,5,3,3.0,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,108.262,0.00826
76,3.04,wave,5.0,0.55,5,3,3.04,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,109.923,0.00764
77,3.08,wave,5.0,0.55,5,3,3.08,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,110.31,0.0085
