frame_id,video_time_sec,expected_label,window_seconds,confidence_threshold,stabilization_buffer,stabilization_min_votes,buffer_duration_sec,valid_feature_ratio,raw_label,threshold_label,stable_label,confidence,prediction_updated,processing_fps,frame_processing_sec
0,0.0,wave,5.0,0.55,5,3,0.0,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,0.0,15.23169
1,0.04,wave,5.0,0.55,5,3,0.04,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,16.811,0.05777
2,0.08,wave,5.0,0.55,5,3,0.08,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,20.5,0.01794
3,0.12,wave,5.0,0.55,5,3,0.12,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,23.955,0.01771
4,0.16,wave,5.0,0.55,5,3,0.16,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,27.228,0.01732
5,0.2,wave,5.0,0.55,5,3,0.2,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,29.858,0.01829
6,0.24,wave,5.0,0.55,5,3,0.24,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,32.397,0.01771
7,0.28,wave,5.0,0.55,5,3,0.28,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,34.678,0.01774
8,0.32,wave,5.0,0.55,5,3,0.32,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,36.5,0.01847
9,0.36,wave,5.0,0.55,5,3,0.36,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,38.389,0.01757
10,0.4,wave,5.0,0.55,5,3,0.4,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,39.391,0.02013
11,0.44,wave,5.0,0.55,5,3,0.44,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,41.853,0.01512
12,0.48,wave,5.0,0.55,5,3,0.48,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,45.147,0.01344
13,0.52,wave,5.0,0.55,5,3,0.52,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,46.707,0.01573
14,0.56,wave,5.0,0.55,5,3,0.56,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,50.62,0.01133
15,0.6,wave,5.0,0.55,5,3,0.6,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,54.117,0.01138
16,0.64,wave,5.0,0.55,5,3,0.64,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,57.355,0.01128
17,0.68,wave,5.0,0.55,5,3,0.68,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,59.634,0.01216
18,0.72,wave,5.0,0.55,5,3,0.72,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,62.218,0.01141
19,0.76,wave,5.0,0.55,5,3,0.76,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,64.458,0.01152
20,0.8,wave,5.0,0.55,5,3,0.8,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,63.656,0.01734
21,0.84,wave,5.0,0.55,5,3,0.84,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,65.786,0.01144
22,0.88,wave,5.0,0.55,5,3,0.88,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,67.803,0.0113
23,0.92,wave,5.0,0.55,5,3,0.92,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,69.556,0.01141
24,0.96,wave,5.0,0.55,5,3,0.96,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,70.304,0.01292
25,1.0,wave,5.0,0.55,5,3,1.0,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,71.078,0.01211
26,1.04,wave,5.0,0.55,5,3,1.04,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,72.593,0.01124
27,1.08,wave,5.0,0.55,5,3,1.08,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,75.293,0.00957
28,1.12,wave,5.0,0.55,5,3,1.12,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,79.401,0.0083
