frame_id,elapsed_sec,track_id,buffer_duration_sec,valid_feature_ratio,raw_label,threshold_label,stable_label,confidence,prediction_updated,processing_fps
0,0.0,1,0.0,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,0.0
1,15.685,1,0.0,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,0.07
2,15.7176,1,0.0325,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,3.685
3,15.7436,1,0.0586,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,6.735
4,15.7727,1,0.0876,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,9.743
5,15.7998,1,0.1148,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,12.481
6,15.8267,1,0.1417,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,14.804
7,15.8546,1,0.1695,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,17.982
8,15.8763,1,0.1912,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,21.097
9,15.8964,1,0.2114,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,23.292
10,15.92,1,0.235,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,24.65
11,15.9468,1,0.2617,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,27.075
12,15.9671,1,0.282,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,29.273
13,15.9875,1,0.3025,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,31.717
14,16.0063,1,0.3213,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,34.163
15,16.0243,1,0.3393,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,34.899
16,16.0482,1,0.3632,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,38.14
17,16.0628,1,0.3778,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,41.01
18,16.0779,1,0.3929,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,43.047
19,16.0941,1,0.4091,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,46.257
20,16.1074,1,0.4224,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,49.142
21,16.1203,1,0.4352,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,51.061
22,16.1355,1,0.4504,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,52.714
23,16.1501,1,0.4651,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,54.64
