frame_id,elapsed_sec,track_id,buffer_duration_sec,valid_feature_ratio,raw_label,threshold_label,stable_label,confidence,prediction_updated,processing_fps
24,29.8122,1,0.5635,0.9167,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,62.276
25,29.8285,3,0.4518,0.75,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,63.663
25,29.8285,1,0.5799,0.92,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,63.663
26,29.8415,3,0.4647,0.76,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,63.674
26,29.8415,1,0.5928,0.9231,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,63.674
26,29.8415,6,0.0427,0.5,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,63.674
27,29.8573,1,0.6087,0.9259,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,64.389
27,29.8573,6,0.0586,0.6,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,64.389
28,29.8716,1,0.6229,0.9286,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,66.008
28,29.8716,6,0.0728,0.6667,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,66.008
29,29.8837,1,0.635,0.931,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,67.633
29,29.8837,6,0.0849,0.7143,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,67.633
30,29.8959,1,0.6472,0.9333,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,68.641
30,29.8959,6,0.0971,0.75,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,68.641
31,29.9087,6,0.1099,0.7778,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,69.229
32,29.922,6,0.1232,0.8,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,68.991
33,29.9368,6,0.138,0.8182,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,69.938
34,29.9496,6,0.1508,0.8333,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,70.127
34,29.9496,1,0.7009,0.8529,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,70.127
35,29.9636,3,0.5868,0.5882,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,71.434
36,29.9758,3,0.599,0.6,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,72.493
36,29.9758,1,0.7271,0.8333,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,72.493
37,29.9878,3,0.611,0.6111,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,73.761
37,29.9878,1,0.7391,0.8378,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,73.761
38,29.9995,3,0.6227,0.6216,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,72.96
38,29.9995,1,0.7508,0.8421,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,72.96
39,30.0148,3,0.638,0.6316,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,72.378
39,30.0148,1,0.7661,0.8462,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,72.378
40,30.0296,3,0.6528,0.641,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,72.951
40,30.0296,1,0.7809,0.85,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,72.951
41,30.0426,3,0.6658,0.65,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,73.725
42,30.055,3,0.6782,0.6585,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,74.027
42,30.055,6,0.2562,0.55,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,74.027
42,30.055,1,0.8063,0.8333,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,74.027
43,30.0682,6,0.2694,0.5714,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,72.644
43,30.0682,1,0.8196,0.8372,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,72.644
44,30.0848,6,0.286,0.5909,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,72.443
45,30.0986,6,0.2998,0.6087,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,72.422
45,30.0986,1,0.8499,0.8222,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,72.422
46,30.1125,6,0.3137,0.625,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,72.984
46,30.1125,1,0.8638,0.8261,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,72.984
47,30.1258,6,0.327,0.64,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,73.632
47,30.1258,1,0.8771,0.8298,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,73.632
48,30.1378,6,0.339,0.6538,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,71.665
48,30.1378,1,0.8891,0.8333,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,71.665
49,30.1565,6,0.3578,0.6667,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,72.339
49,30.1565,1,0.9079,0.8367,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,72.339
50,30.1692,6,0.3704,0.6786,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,73.197
50,30.1692,1,0.9205,0.84,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,73.197
51,30.1815,6,0.3827,0.6897,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,73.694
51,30.1815,1,0.9328,0.8431,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,73.694
