frame_id,elapsed_sec,track_id,buffer_duration_sec,valid_feature_ratio,raw_label,threshold_label,stable_label,confidence,prediction_updated,processing_fps
0,0.0,1,0.0,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,0.0
1,6.1907,1,0.0,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,10.89
2,6.211,1,0.0203,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,16.804
3,6.2253,1,0.0345,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,21.588
4,6.2411,1,0.0504,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,25.783
5,6.2566,1,0.0659,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,29.126
6,6.2733,1,0.0825,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,34.153
7,6.2864,1,0.0957,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,38.683
8,6.2985,1,0.1077,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,42.907
9,6.3108,1,0.12,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,46.851
10,6.3229,1,0.1322,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,49.299
11,6.3371,1,0.1464,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,49.017
12,6.3586,1,0.1679,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,50.052
13,6.3754,1,0.1846,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,52.753
14,6.3882,1,0.1975,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,56.098
15,6.4003,1,0.2096,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,58.162
16,6.4129,1,0.2221,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,60.474
17,6.4251,1,0.2344,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,62.763
18,6.4371,1,0.2463,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,65.153
19,6.4487,1,0.2579,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,66.79
20,6.461,1,0.2702,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,68.3
21,6.4731,1,0.2824,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,69.103
22,6.4865,1,0.2957,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,70.062
23,6.5,1,0.3092,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,70.517
24,6.5126,1,0.3218,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,70.621
25,6.5263,1,0.3356,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,71.797
26,6.5385,1,0.3477,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,72.671
27,6.5511,1,0.3603,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,73.988
28,6.5624,1,0.3717,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,74.957
29,6.5744,1,0.3837,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,75.913
30,6.5862,1,0.3955,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,76.798
31,6.5985,1,0.4078,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,77.137
