action_id,action_label,source,frame_id,time_sec,pose_ok,feature_ok,mean_keypoint_conf,low_keypoint_count,hip_center_x,hip_center_y,shoulder_width,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y,left_elbow_angle,right_elbow_angle,left_knee_angle,right_knee_angle
A004,drink_return,drink_return.mp4,10,0.4,1,1,0.9726,0,341.0689,251.3316,55.0573,0.01426,-2.526252,0.126976,-2.639315,-0.102572,-2.634299,0.293358,-2.539533,-0.277919,-2.525769,0.502182,-1.781571,-0.497288,-1.749038,0.712734,-0.878525,-0.77132,-0.822844,0.812403,-0.082017,-0.874141,-0.034887,0.339217,-0.009101,-0.339217,0.009101,0.452105,1.326928,-0.479109,1.369921,0.499992,2.549373,-0.532788,2.605906,174.007988,170.952693,177.413509,176.617365
A004,drink_return,drink_return.mp4,11,0.44,1,1,0.9728,0,341.0523,251.2475,55.0591,0.012619,-2.52401,0.12526,-2.638014,-0.104508,-2.631923,0.292822,-2.540789,-0.278628,-2.524493,0.503145,-1.784593,-0.496238,-1.749473,0.714017,-0.881757,-0.77047,-0.82011,0.813121,-0.087168,-0.87536,-0.024503,0.339148,-0.009451,-0.339148,0.009451,0.451466,1.327379,-0.479652,1.371015,0.500427,2.551239,-0.532587,2.61084,173.962783,171.070402,177.488298,176.553206
A004,drink_return,drink_return.mp4,12,0.48,1,1,0.9729,0,341.0684,251.2668,55.1361,0.011715,-2.520929,0.124215,-2.634739,-0.104764,-2.628536,0.292503,-2.538078,-0.276971,-2.521469,0.504715,-1.781526,-0.494708,-1.747559,0.71648,-0.87857,-0.77034,-0.822785,0.814667,-0.086319,-0.882642,-0.030936,0.338773,-0.008993,-0.338773,0.008993,0.448717,1.326324,-0.478866,1.368782,0.498113,2.545833,-0.527045,2.604721,173.866173,171.475181,177.612631,176.350091
A004,drink_return,drink_return.mp4,13,0.52,1,1,0.9731,0,341.1461,251.1524,55.1994,0.009074,-2.515726,0.121246,-2.629765,-0.107199,-2.62296,0.290496,-2.534794,-0.277965,-2.51673,0.504514,-1.7795,-0.494871,-1.744455,0.714761,-0.877377,-0.772752,-0.818816,0.813306,-0.085965,-0.884708,-0.021425,0.338445,-0.009166,-0.338444,0.009166,0.445537,1.324181,-0.479102,1.367098,0.493418,2.542654,-0.526593,2.603679,173.978845,171.282307,177.658156,176.28564
A004,drink_return,drink_return.mp4,14,0.56,1,1,0.9726,0,341.0805,251.0505,55.0004,0.005977,-2.519438,0.11928,-2.635231,-0.110329,-2.628535,0.291112,-2.544057,-0.280515,-2.527032,0.505557,-1.788721,-0.493934,-1.756804,0.719143,-0.87514,-0.773984,-0.830656,0.814214,-0.079672,-0.895818,-0.046354,0.338644,-0.008546,-0.338644,0.008546,0.450085,1.330557,-0.474816,1.372648,0.497256,2.554749,-0.527949,2.613395,173.656559,172.005467,177.449248,176.751403
A004,drink_return,drink_return.mp4,15,0.6,1,1,0.9726,0,340.877,251.3509,54.8005,0.00037,-2.533445,0.11715,-2.648792,-0.114754,-2.643511,0.296168,-2.555244,-0.278074,-2.540759,0.511553,-1.798569,-0.48794,-1.766738,0.728182,-0.88814,-0.771803,-0.842027,0.821518,-0.083819,-0.906933,-0.047216,0.339095,-0.007854,-0.339096,0.007854,0.454281,1.337086,-0.475896,1.375701,0.509568,2.564009,-0.526854,2.615429,173.234995,172.583756,177.68514,176.642637
A004,drink_return,drink_return.mp4,16,0.64,1,1,0.9727,0,341.2072,251.172,54.7687,-0.010419,-2.529543,0.108188,-2.644697,-0.124056,-2.641459,0.290276,-2.552323,-0.285168,-2.542581,0.506625,-1.797164,-0.49295,-1.768028,0.724172,-0.88126,-0.777667,-0.840124,0.814339,-0.076283,-0.932276,-0.047053,0.33924,-0.006802,-0.33924,0.006802,0.448528,1.342929,-0.482857,1.37721,0.505635,2.57001,-0.53086,2.611599,173.029762,173.97341,178.035467,176.244381
A004,drink_return,drink_return.mp4,17,0.68,1,1,0.9726,0,341.0793,251.3313,54.5184,-0.02328,-2.546539,0.097531,-2.662323,-0.13594,-2.658216,0.289815,-2.568929,-0.285669,-2.555688,0.514536,-1.807897,-0.484887,-1.77394,0.733768,-0.887396,-0.777991,-0.840527,0.823963,-0.075157,-0.955198,-0.03927,0.339241,-0.006813,-0.339241,0.006813,0.450709,1.350075,-0.485448,1.384394,0.51275,2.585027,-0.535469,2.627058,172.940225,175.037931,178.179948,176.24678
A004,drink_return,drink_return.mp4,18,0.72,1,1,0.9714,0,341.6541,250.1777,55.5298,-0.062119,-2.464644,0.066028,-2.577006,-0.167389,-2.584718,0.274365,-2.488251,-0.30052,-2.498092,0.503625,-1.766486,-0.495821,-1.733194,0.6935,-0.866,-0.781716,-0.797943,0.795299,-0.07405,-0.962214,-0.052083,0.341915,-0.00675,-0.341915,0.00675,0.446457,1.319972,-0.515974,1.355392,0.475583,2.575557,-0.568363,2.591946,175.417982,176.606386,176.823372,175.071844
A004,drink_return,drink_return.mp4,19,0.76,1,1,0.9705,0,341.7897,250.3674,55.4434,-0.079094,-2.468533,0.052047,-2.580637,-0.181903,-2.589321,0.270272,-2.491464,-0.30406,-2.502593,0.504611,-1.769326,-0.494757,-1.733797,0.693822,-0.869027,-0.790277,-0.79451,0.800536,-0.07237,-1.002492,-0.029936,0.341613,-0.006431,-0.341613,0.006431,0.442202,1.324781,-0.521231,1.357558,0.474294,2.577344,-0.568985,2.58807,175.760762,178.047959,177.146587,174.649978
