action_id,action_label,source,frame_id,time_sec,pose_ok,feature_ok,mean_keypoint_conf,low_keypoint_count,hip_center_x,hip_center_y,shoulder_width,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y,left_elbow_angle,right_elbow_angle,left_knee_angle,right_knee_angle
A006,wave,wave.mp4,11,0.44,1,1,0.9763,0,346.6507,247.101,53.405,-0.051688,-2.467628,0.065311,-2.581674,-0.167517,-2.583598,0.240687,-2.495175,-0.338549,-2.489783,0.464716,-1.750986,-0.534317,-1.707029,0.693808,-0.864475,-0.934055,-0.851426,0.795855,-0.09059,-1.42009,-0.20482,0.332221,-0.005461,-0.332221,0.005461,0.393264,1.33209,-0.490736,1.360971,0.392398,2.523083,-0.55276,2.530581,173.022505,168.110843,177.345093,176.365681
A006,wave,wave.mp4,12,0.48,1,1,0.9792,0,346.5452,247.4403,55.1296,-0.045085,-2.403455,0.069012,-2.515714,-0.158641,-2.514478,0.238253,-2.430395,-0.31576,-2.418139,0.471059,-1.688797,-0.528125,-1.648401,0.677625,-0.838895,-0.952376,-0.858565,0.787739,-0.078854,-1.480293,-0.262182,0.326026,-0.002564,-0.326026,0.002564,0.364052,1.309803,-0.469563,1.33618,0.34206,2.452095,-0.510459,2.471303,174.582858,166.72676,177.237421,175.920232
A006,wave,wave.mp4,13,0.52,1,1,0.9794,0,346.5308,247.7229,54.9563,-0.043604,-2.416024,0.071779,-2.5278,-0.157098,-2.525975,0.241734,-2.441065,-0.313257,-2.4275,0.474121,-1.700992,-0.52531,-1.667281,0.680152,-0.858944,-0.977842,-0.931073,0.796256,-0.091016,-1.576947,-0.396579,0.325829,-0.001114,-0.325829,0.001114,0.367409,1.308676,-0.470178,1.335945,0.352197,2.448453,-0.512226,2.466651,174.848545,163.316005,177.41722,175.957605
A006,wave,wave.mp4,14,0.56,1,1,0.9752,0,347.7381,246.9632,52.9393,-0.064371,-2.488446,0.054,-2.603317,-0.179526,-2.598834,0.237499,-2.516445,-0.334475,-2.494454,0.472288,-1.773128,-0.527141,-1.73934,0.716863,-0.90687,-1.143794,-1.088162,0.80614,-0.083095,-1.915658,-0.724385,0.324398,-0.002272,-0.324399,0.002273,0.364104,1.322611,-0.464272,1.359224,0.371797,2.524023,-0.553671,2.52398,170.419176,158.674434,178.649978,178.503936
A006,wave,wave.mp4,15,0.6,1,1,0.9751,0,348.1848,247.245,52.2554,-0.070581,-2.525863,0.048164,-2.643358,-0.187186,-2.635392,0.236381,-2.556971,-0.336734,-2.526166,0.475577,-1.799741,-0.524017,-1.771233,0.722758,-0.920632,-1.20662,-1.188345,0.819342,-0.068784,-2.071126,-0.924729,0.322242,-0.001655,-0.322241,0.001655,0.35922,1.331262,-0.454951,1.375057,0.374993,2.550006,-0.551867,2.555978,170.764198,156.463431,179.152116,179.172202
A006,wave,wave.mp4,16,0.64,1,1,0.9745,0,348.7803,247.2782,52.3246,-0.083566,-2.525802,0.034929,-2.644401,-0.199572,-2.633797,0.22738,-2.558336,-0.340017,-2.521606,0.472964,-1.796285,-0.526846,-1.776789,0.715676,-0.925327,-1.313417,-1.284936,0.804337,-0.064183,-2.26446,-1.128773,0.319794,-0.000736,-0.319794,0.000735,0.34767,1.329795,-0.45178,1.377759,0.3621,2.545527,-0.573043,2.55356,170.30663,157.306507,179.479606,179.586932
A006,wave,wave.mp4,17,0.68,1,1,0.9758,0,348.9844,246.8902,52.7721,-0.084434,-2.499526,0.03275,-2.618062,-0.200511,-2.605256,0.22535,-2.533335,-0.336804,-2.494626,0.470584,-1.772771,-0.529416,-1.773803,0.712287,-0.905807,-1.372168,-1.403012,0.792822,-0.047616,-2.257144,-1.437886,0.319298,-0.000256,-0.319298,0.000256,0.348516,1.317162,-0.442586,1.37527,0.355249,2.516145,-0.590644,2.528233,169.782999,153.994985,179.051055,177.806255
A006,wave,wave.mp4,18,0.72,1,1,0.9774,0,348.4482,246.6801,53.8345,-0.07305,-2.448304,0.040428,-2.565393,-0.188439,-2.550263,0.228116,-2.482462,-0.323259,-2.441625,0.473737,-1.729654,-0.526016,-1.751857,0.717101,-0.873126,-1.408919,-1.49627,0.792497,-0.030126,-2.217349,-1.702271,0.319045,0.00014,-0.319045,-0.00014,0.357503,1.294202,-0.429965,1.362464,0.360515,2.472953,-0.594137,2.494085,169.249496,149.55945,178.444175,176.399021
A006,wave,wave.mp4,19,0.76,1,1,0.9771,0,348.8287,246.6429,53.9986,-0.076375,-2.438439,0.034976,-2.553919,-0.191158,-2.539888,0.21729,-2.46826,-0.32931,-2.433614,0.463785,-1.711958,-0.534685,-1.767267,0.706843,-0.86796,-1.447017,-1.623162,0.785106,-0.027097,-2.213759,-1.934295,0.319446,0.003859,-0.319446,-0.003859,0.356329,1.296497,-0.433826,1.362266,0.349566,2.470124,-0.624653,2.489466,169.251803,148.937549,178.035267,175.177242
A006,wave,wave.mp4,20,0.8,1,1,0.9758,0,348.3849,247.0015,55.2143,-0.069227,-2.396239,0.039963,-2.506769,-0.181431,-2.495445,0.214534,-2.415725,-0.32399,-2.391004,0.454132,-1.66975,-0.542137,-1.756055,0.694688,-0.857774,-1.464788,-1.71089,0.777688,-0.03344,-2.127361,-2.114963,0.318753,0.006062,-0.318753,-0.006062,0.354549,1.272397,-0.419539,1.337641,0.344026,2.418619,-0.614654,2.435444,169.247079,145.820411,177.85479,174.211381
