run,file,expected_label,prediction_updates,first_prediction_sec,unknown_ratio,stable_label_changes,stable_match_ratio,mean_confidence,mean_processing_fps,window_seconds,confidence_threshold,stabilization_buffer,changed_variable
before,reports/day10/experiments/runtime/S02_A006_T01_w3_c0.55_s5.csv,wave,5,2.44,1.0,0,0.0,0.2487,80.589,3.0,0.55,5,confidence_threshold
after,reports/day10/experiments/runtime/S02_A006_T01_w3_c0.2_s5.csv,wave,5,2.44,0.0,1,0.4,0.2487,75.166,3.0,0.2,5,confidence_threshold
